# PhotoID	X	Y	Z	r11	r12	r13	r21	r22	r23	r31	r32	r33
DJI_0662	252392.1478	6149592.5478	46.9843	-0.440698715238872	0.880301860110232	-0.175651010453323	-0.897230870899489	-0.437990073298080	0.056048728774937	-0.027593598745942	0.182300111845297	0.982855667190987
DJI_0663	252396.7703	6149590.3125	47.1676	-0.440978863205934	0.879277470182327	-0.180024366782301	-0.897074353473321	-0.438105921500107	0.057626433925456	-0.028200116064029	0.186907281763736	0.981972719314374
DJI_0664	252401.2774	6149588.0928	47.3719	-0.440742088264742	0.878616417240129	-0.183792282177879	-0.897179100493919	-0.437702141943251	0.059046562772206	-0.028566996148636	0.190918899783151	0.981190042976709
DJI_0674	252397.5822	6149576.7406	47.6449	0.401345452777333	-0.900984001356593	0.164771529198528	0.915754005026818	0.398217106753934	-0.053082371516996	-0.017788474141979	0.172194556208929	0.984902332721225
DJI_0675	252392.9562	6149579.0165	47.5542	0.403934814132311	-0.899479292110279	0.166654339867543	0.914620585332521	0.400585413802701	-0.054776921550181	-0.017488591077919	0.174551795502970	0.984492671312894
DJI_0676	252388.3511	6149581.2940	47.4004	0.407005648761085	-0.897402683268312	0.170337388554017	0.913262454319512	0.403319507331428	-0.057315482517690	-0.017265323827535	0.178890466679384	0.983717494773963
DJI_0677	252383.7313	6149583.6236	47.2509	0.409229041271114	-0.895731052811561	0.173774200643872	0.912266624693037	0.405288578052936	-0.059251784538554	-0.017355035335558	0.182775954460431	0.983001400415879
DJI_0678	252378.9898	6149585.9922	47.1730	0.411451176634017	-0.893997066893004	0.177418075835545	0.911274584742169	0.407126342188810	-0.061860914145749	-0.016928096451483	0.187129329295716	0.982189418425929
DJI_0679	252374.4008	6149588.2144	47.1390	0.412900806426740	-0.892410526484457	0.181979054486723	0.910624273263640	0.408154390318663	-0.064602063486147	-0.016623988547140	0.192388788351438	0.981177964041921
DJI_0680	252369.3699	6149590.6364	47.2680	0.414489282322383	-0.890720060416375	0.186591556110466	0.909912232307431	0.409241536984050	-0.067683778737900	-0.016073715724262	0.197836140224130	0.980103309495501
